similarity_cluster,cluster_size,cluster_avg_price,cluster_median_price,cluster_avg_rating,cluster_avg_images,cluster_median_images,cluster_avg_desc_words,cluster_median_desc_words,cluster_avg_review_count,cluster_median_review_count,cluster_avg_product_age,cluster_median_product_age,cluster_avg_brand_strength,cluster_dominant_category
0,27,1979.0025925925927,1613.84,3.7074074074074073,3.925925925925926,4.0,14.37037037037037,15.0,0.0,0.0,1156.7037037037037,1138.0,0.38300357479399344,الالكترونيات
1,27,625.2074074074073,278.2,4.074074074074074,3.3703703703703702,3.0,14.518518518518519,15.0,0.0,0.0,1153.7407407407406,1135.0,0.34956374783054484,الرياضه واللياقه
2,16,1155.68625,462.49,3.76875,4.4375,4.0,12.0625,12.0,0.0,0.0,1164.1875,1152.0,0.6120550016558437,الالكترونيات
3,35,162.01628571428571,132.13,3.834285714285714,4.228571428571429,4.0,12.914285714285715,13.0,0.0,0.0,1150.1714285714286,1147.0,0.27160789955165,الكتب والتعليم
4,32,1416.5046875,1102.21,3.725,4.0625,4.0,14.53125,16.0,0.0,0.0,1150.375,1143.5,0.26748578062704065,المنزل والمطبخ
5,31,312.03483870967744,281.44,3.770967741935484,4.451612903225806,5.0,13.64516129032258,14.0,0.0,0.0,1173.7096774193549,1186.0,0.37324573544941014,الجمال والعنايه
6,32,375.3246875,323.275,3.678125,4.0,4.0,12.65625,13.0,0.0,0.0,1170.6875,1174.5,0.21365830518453735,الازياء والملابس
